MN985325,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-01-19
MN994467,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,CA,oronasopharynx,2020-01-23
MN994468,Severe acute respiratory syndrome-related coronavirus,29883,complete,USA: CA,CA,oronasopharynx,2020-01-22
MT020880,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: WA,WA,oronasopharynx,2020-01-25
MT020881,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: WA,WA,oronasopharynx,2020-01-25
MT027062,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,CA,oronasopharynx,2020-01-29
MT027063,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,CA,oronasopharynx,2020-01-29
MT027064,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,CA,oronasopharynx,2020-01-29
MT039887,Severe acute respiratory syndrome-related coronavirus,29879,complete,USA: WI,WI,oronasopharynx,2020-01-31
MT039888,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,MA,oronasopharynx,2020-01-29
MT044258,Severe acute respiratory syndrome-related coronavirus,29858,complete,USA: CA,CA,oronasopharynx,2020-01-27
MT106052,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,CA,oronasopharynx,2020-02-06
MT106053,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,CA,oronasopharynx,2020-02-10
MT159705,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-17
MT159706,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-17
MT159707,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-17
MT159708,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-17
MT159709,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-20
MT159710,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-17
MT159711,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-20
MT159712,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-25
MT159713,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-18
MT159714,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-18
MT159715,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-24
MT159716,Severe acute respiratory syndrome-related coronavirus,29867,complete,USA,,oronasopharynx,2020-02-24
MT159717,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-17
MT159718,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-18
MT159719,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-18
MT159720,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-21
MT159721,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-21
MT159722,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-21
MT184907,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-18
MT184908,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-21
MT184909,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-21
MT184910,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-18
MT184911,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-17
MT184912,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-17
MT184913,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,,oronasopharynx,2020-02-24
MT233526,Severe acute respiratory syndrome-related coronavirus,29847,complete,USA: WA,WA,oronasopharynx,2020-01-19
MT246667,Severe acute respiratory syndrome-related coronavirus,29867,complete,USA: WA,WA,oronasopharynx,2020-01-19
MT276323,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: RI,RI,oronasopharynx,2020-02-28
MT276324,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,CA,oronasopharynx,2020-02-26
MT276325,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: WA,WA,oronasopharynx,2020-02-27
MT276326,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-02-29
MT276327,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-02-29
MT276328,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: OR,OR,oronasopharynx,2020-02-27
MT276329,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,FL,oronasopharynx,2020-02-28
MT276330,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,FL,oronasopharynx,2020-02-28
MT304478,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,FL,oronasopharynx,2020-03-02
MT304479,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-03-03
MT304480,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-03-03
MT304481,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-03-04
MT304482,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IL,IL,oronasopharynx,2020-03-01
MT304483,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IL,IL,oronasopharynx,2020-03-01
MT304484,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NH,NH,oronasopharynx,2020-02-29
MT304485,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NH,NH,oronasopharynx,2020-03-02
MT304486,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NY,NY,oronasopharynx,2020-03-02
MT304487,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: OR,OR,oronasopharynx,2020-03-01
MT304488,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: RI,RI,oronasopharynx,2020-03-01
MT304489,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: TX,TX,oronasopharynx,2020-02-29
MT304490,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: TX,TX,oronasopharynx,2020-03-01
MT325561,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: AZ,AZ,oronasopharynx,2020-03-09
MT325563,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: DC,DC,oronasopharynx,2020-03-06
MT325564,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,FL,oronasopharynx,2020-03-06
MT325567,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,FL,oronasopharynx,2020-03-05
MT325568,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,FL,oronasopharynx,2020-03-06
MT325569,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-03-04
MT325570,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-03-05
MT325571,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-03
MT325572,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-03-08
MT325573,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-03
MT325574,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-03
MT325575,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,GA,oronasopharynx,2020-03-10
MT325576,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IA,IA,oronasopharynx,2020-03-08
MT325577,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IL,IL,oronasopharynx,2020-03-07
MT325578,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IL,IL,oronasopharynx,2020-03-07
MT325579,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IN,IN,oronasopharynx,2020-03-09
MT325580,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: KS,KS,oronasopharynx,2020-03-06
MT325581,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: LA,LA,oronasopharynx,2020-03-09
MT325582,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,MA,oronasopharynx,2020-03-05
MT325583,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,MA,oronasopharynx,2020-03-06
MT325584,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,MA,oronasopharynx,2020-03-06
MT325585,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,MA,oronasopharynx,2020-03-06
MT325586,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,MA,oronasopharynx,2020-03-07
MT325587,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MD,MD,oronasopharynx,2020-03-04
MT325588,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MO,MO,oronasopharynx,2020-03-06
MT325590,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NC,NC,oronasopharynx,2020-03-07
MT325591,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NC,NC,oronasopharynx,2020-03-06
MT325592,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NE,NE,oronasopharynx,2020-03-05
MT325593,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NE,NE,oronasopharynx,2020-03-07
MT325594,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NH,NH,oronasopharynx,2020-03-06
MT325595,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NH,NH,oronasopharynx,2020-03-06
MT325596,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NJ,NJ,oronasopharynx,2020-03-04
